[2026-09-20 20:48:13] prueba
[2026-09-20 20:48:20] prueba
[2026-09-20 20:48:20] prueba
[2026-09-20 20:48:25] prueba
[2026-09-20 20:48:29] prueba
[2026-09-20 20:48:32] prueba
[2026-09-20 20:48:36] prueba
[2026-09-20 20:48:41] prueba
[2026-09-20 20:48:43] prueba
[2026-09-20 20:48:47] prueba
[2026-09-20 20:48:52] prueba
[2026-09-20 20:48:55] prueba
[2026-09-20 20:48:59] prueba
[2026-09-20 20:49:04] prueba
[2026-09-20 20:49:06] prueba
[2026-09-20 21:20:34] p_stRxHubStatus->TimeRunning (189)Seg
[2026-09-20 21:20:34] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:34] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:38] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:38] p_stRxHubStatus->TimeRunning (192)Seg
[2026-09-20 21:20:38] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:38] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:42] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:42] p_stRxHubStatus->TimeRunning (195)Seg
[2026-09-20 21:20:42] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:42] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:46] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:46] p_stRxHubStatus->TimeRunning (198)Seg
[2026-09-20 21:20:46] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:46] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:51] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:51] p_stRxHubStatus->TimeRunning (202)Seg
[2026-09-20 21:20:51] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:51] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:20:55] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:20:55] p_stRxHubStatus->TimeRunning (205)Seg
[2026-09-20 21:20:55] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:20:55] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:03] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:03] p_stRxHubStatus->TimeRunning (211)Seg
[2026-09-20 21:21:03] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:03] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:07] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:07] p_stRxHubStatus->TimeRunning (214)Seg
[2026-09-20 21:21:07] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:07] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:11] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:11] p_stRxHubStatus->TimeRunning (217)Seg
[2026-09-20 21:21:11] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:11] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:15] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:15] p_stRxHubStatus->TimeRunning (220)Seg
[2026-09-20 21:21:15] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:15] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:20] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:20] p_stRxHubStatus->TimeRunning (224)Seg
[2026-09-20 21:21:20] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:20] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:24] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:24] p_stRxHubStatus->TimeRunning (227)Seg
[2026-09-20 21:21:24] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:24] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:28] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:28] p_stRxHubStatus->TimeRunning (230)Seg
[2026-09-20 21:21:28] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:28] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:32] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:32] p_stRxHubStatus->TimeRunning (233)Seg
[2026-09-20 21:21:32] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:32] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:36] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:36] p_stRxHubStatus->TimeRunning (236)Seg
[2026-09-20 21:21:36] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:36] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:40] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:40] p_stRxHubStatus->TimeRunning (239)Seg
[2026-09-20 21:21:40] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:40] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:45] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:45] p_stRxHubStatus->TimeRunning (242)Seg
[2026-09-20 21:21:45] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:45] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:49] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:49] p_stRxHubStatus->TimeRunning (246)Seg
[2026-09-20 21:21:49] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:49] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:53] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:53] p_stRxHubStatus->TimeRunning (249)Seg
[2026-09-20 21:21:53] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:53] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:21:57] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:21:57] p_stRxHubStatus->TimeRunning (252)Seg
[2026-09-20 21:21:57] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:21:57] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:22:01] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:22:01] p_stRxHubStatus->TimeRunning (255)Seg
[2026-09-20 21:22:01] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:01] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:22:05] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:22:05] p_stRxHubStatus->TimeRunning (258)Seg
[2026-09-20 21:22:05] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:05] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:22:10] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:22:10] p_stRxHubStatus->TimeRunning (261)Seg
[2026-09-20 21:22:10] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:10] p_stRxHubStatus->netcurrent (43066)A
[2026-09-20 21:22:14] p_stRxHubStatus->HubStatus (87)
[2026-09-20 21:22:14] p_stRxHubStatus->TimeRunning (264)Seg
[2026-09-20 21:22:14] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:14] p_stRxHubStatus->netcurrent (308)A
[2026-09-20 21:22:22] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:22:22] p_stRxHubStatus->TimeRunning (271)Seg
[2026-09-20 21:22:22] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:22] p_stRxHubStatus->netcurrent (183)A
[2026-09-20 21:22:29] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:22:29] p_stRxHubStatus->TimeRunning (277)Seg
[2026-09-20 21:22:29] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:29] p_stRxHubStatus->netcurrent (264)A
[2026-09-20 21:22:37] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:22:37] p_stRxHubStatus->TimeRunning (283)Seg
[2026-09-20 21:22:37] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:37] p_stRxHubStatus->netcurrent (248)A
[2026-09-20 21:22:45] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:22:45] p_stRxHubStatus->TimeRunning (289)Seg
[2026-09-20 21:22:45] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:45] p_stRxHubStatus->netcurrent (102)A
[2026-09-20 21:22:53] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:22:53] p_stRxHubStatus->TimeRunning (296)Seg
[2026-09-20 21:22:53] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:22:53] p_stRxHubStatus->netcurrent (302)A
[2026-09-20 21:23:00] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:23:00] p_stRxHubStatus->TimeRunning (302)Seg
[2026-09-20 21:23:00] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:23:00] p_stRxHubStatus->netcurrent (254)A
[2026-09-20 21:23:12] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:23:12] p_stRxHubStatus->TimeRunning (311)Seg
[2026-09-20 21:23:12] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:23:12] p_stRxHubStatus->netcurrent (367)A
[2026-09-20 21:23:20] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:23:20] p_stRxHubStatus->TimeRunning (318)Seg
[2026-09-20 21:23:20] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:23:20] p_stRxHubStatus->netcurrent (102)A
[2026-09-20 21:23:27] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:23:27] p_stRxHubStatus->TimeRunning (324)Seg
[2026-09-20 21:23:27] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:23:27] p_stRxHubStatus->netcurrent (264)A
[2026-09-20 21:23:35] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:23:35] p_stRxHubStatus->TimeRunning (330)Seg
[2026-09-20 21:23:35] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:23:35] p_stRxHubStatus->netcurrent (264)A
[2026-09-20 21:23:43] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:23:43] p_stRxHubStatus->TimeRunning (336)Seg
[2026-09-20 21:23:43] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:23:43] p_stRxHubStatus->netcurrent (372)A
[2026-09-20 21:23:52] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:23:52] p_stRxHubStatus->TimeRunning (343)Seg
[2026-09-20 21:23:52] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:23:52] p_stRxHubStatus->netcurrent (356)A
[2026-09-20 21:23:59] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:23:59] p_stRxHubStatus->TimeRunning (349)Seg
[2026-09-20 21:23:59] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:23:59] p_stRxHubStatus->netcurrent (145)A
[2026-09-20 21:24:10] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:24:10] p_stRxHubStatus->TimeRunning (358)Seg
[2026-09-20 21:24:10] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:24:10] p_stRxHubStatus->netcurrent (264)A
[2026-09-20 21:24:18] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:24:18] p_stRxHubStatus->TimeRunning (365)Seg
[2026-09-20 21:24:18] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:24:18] p_stRxHubStatus->netcurrent (140)A
[2026-09-20 21:24:25] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:24:25] p_stRxHubStatus->TimeRunning (371)Seg
[2026-09-20 21:24:25] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:24:25] p_stRxHubStatus->netcurrent (232)A
[2026-09-20 21:24:33] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:24:33] p_stRxHubStatus->TimeRunning (377)Seg
[2026-09-20 21:24:33] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:24:33] p_stRxHubStatus->netcurrent (308)A
[2026-09-20 21:24:41] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:24:41] p_stRxHubStatus->TimeRunning (383)Seg
[2026-09-20 21:24:41] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:24:41] p_stRxHubStatus->netcurrent (172)A
[2026-09-20 21:24:49] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:24:49] p_stRxHubStatus->TimeRunning (390)Seg
[2026-09-20 21:24:49] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:24:49] p_stRxHubStatus->netcurrent (378)A
[2026-09-20 21:24:57] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:24:57] p_stRxHubStatus->TimeRunning (396)Seg
[2026-09-20 21:24:57] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:24:57] p_stRxHubStatus->netcurrent (329)A
[2026-09-20 21:25:04] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:25:04] p_stRxHubStatus->TimeRunning (402)Seg
[2026-09-20 21:25:04] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:25:04] p_stRxHubStatus->netcurrent (194)A
[2026-09-20 21:25:12] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:25:12] p_stRxHubStatus->TimeRunning (409)Seg
[2026-09-20 21:25:12] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:25:12] p_stRxHubStatus->netcurrent (183)A
[2026-09-20 21:25:20] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:25:20] p_stRxHubStatus->TimeRunning (415)Seg
[2026-09-20 21:25:20] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:25:20] p_stRxHubStatus->netcurrent (372)A
[2026-09-20 21:25:27] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:25:27] p_stRxHubStatus->TimeRunning (421)Seg
[2026-09-20 21:25:27] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:25:27] p_stRxHubStatus->netcurrent (329)A
[2026-09-20 21:25:54] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:25:54] p_stRxHubStatus->TimeRunning (443)Seg
[2026-09-20 21:25:54] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:25:54] p_stRxHubStatus->netcurrent (183)mA
[2026-09-20 21:26:02] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:26:02] p_stRxHubStatus->TimeRunning (449)Seg
[2026-09-20 21:26:02] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:26:02] p_stRxHubStatus->netcurrent (194)mA
[2026-09-20 21:26:10] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:26:10] p_stRxHubStatus->TimeRunning (456)Seg
[2026-09-20 21:26:10] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:26:10] p_stRxHubStatus->netcurrent (113)mA
[2026-09-20 21:26:17] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:26:17] p_stRxHubStatus->TimeRunning (462)Seg
[2026-09-20 21:26:17] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:26:17] p_stRxHubStatus->netcurrent (221)mA
[2026-09-20 21:26:25] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:26:25] p_stRxHubStatus->TimeRunning (468)Seg
[2026-09-20 21:26:25] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:26:25] p_stRxHubStatus->netcurrent (254)mA
[2026-09-20 21:26:41] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:26:41] p_stRxHubStatus->TimeRunning (481)Seg
[2026-09-20 21:26:41] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:26:41] p_stRxHubStatus->netcurrent (205)mA
[2026-09-20 21:26:49] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:26:49] p_stRxHubStatus->TimeRunning (487)Seg
[2026-09-20 21:26:49] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:26:49] p_stRxHubStatus->netcurrent (356)mA
[2026-09-20 21:27:04] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:27:04] p_stRxHubStatus->TimeRunning (497)Seg
[2026-09-20 21:27:04] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:27:04] p_stRxHubStatus->netcurrent (281)mA
[2026-09-20 21:27:08] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:27:08] p_stRxHubStatus->TimeRunning (503)Seg
[2026-09-20 21:27:08] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:27:08] p_stRxHubStatus->netcurrent (108)mA
[2026-09-20 21:27:16] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:27:16] p_stRxHubStatus->TimeRunning (510)Seg
[2026-09-20 21:27:16] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:27:16] p_stRxHubStatus->netcurrent (324)mA
[2026-09-20 21:27:24] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:27:24] p_stRxHubStatus->TimeRunning (516)Seg
[2026-09-20 21:27:24] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:27:24] p_stRxHubStatus->netcurrent (156)mA
[2026-09-20 21:27:32] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:27:32] p_stRxHubStatus->TimeRunning (522)Seg
[2026-09-20 21:27:32] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:27:32] p_stRxHubStatus->netcurrent (302)mA
[2026-09-20 21:27:39] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:27:39] p_stRxHubStatus->TimeRunning (528)Seg
[2026-09-20 21:27:39] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:27:39] p_stRxHubStatus->netcurrent (102)mA
[2026-09-20 21:27:47] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:27:47] p_stRxHubStatus->TimeRunning (535)Seg
[2026-09-20 21:27:47] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:27:47] p_stRxHubStatus->netcurrent (324)mA
[2026-09-20 21:27:55] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:27:55] p_stRxHubStatus->TimeRunning (541)Seg
[2026-09-20 21:27:55] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:27:55] p_stRxHubStatus->netcurrent (356)mA
[2026-09-20 21:28:03] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:28:03] p_stRxHubStatus->TimeRunning (547)Seg
[2026-09-20 21:28:03] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:28:03] p_stRxHubStatus->netcurrent (372)mA
